fdc_id,name,category,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron
172038,"Fast foods, burrito, with beans",Fast Foods,SR Legacy,206.0,6.48,32.9,6.22,0.0,0.0,454.0,52.0,2.08
174296,"Refried beans, canned, vegetarian",Legumes and Legume Products,SR Legacy,347.0,5.28,13.5,0.87,4.7,0.0,430.0,35.0,1.7
167666,"Restaurant, Mexican, refried beans",Restaurant Foods,SR Legacy,651.0,6.91,16.8,6.77,8.0,0.0,376.0,57.0,1.62
790214,"Flour, rice, white, unenriched",Cereal Grains and Pasta,Foundation,359.0,6.94,79.8,1.3,0.5,0.0,5.0,6.0,0.22
169714,"Rice flour, white, unenriched",Cereal Grains and Pasta,SR Legacy,366.0,5.95,80.1,1.42,2.4,0.0,0.0,10.0,0.35
169711,"Rice, white, glutinous, unenriched, cooked",Cereal Grains and Pasta,SR Legacy,406.0,2.02,21.1,0.19,1.0,0.0,5.0,2.0,0.14
168883,"Rice, white, glutinous, unenriched, uncooked",Cereal Grains and Pasta,SR Legacy,370.0,6.81,81.7,0.55,2.8,0.0,7.0,11.0,1.6
169712,"Rice, white, steamed, Chinese restaurant",Cereal Grains and Pasta,SR Legacy,151.0,3.2,33.9,0.27,0.9,0.0,5.0,5.0,0.39
168964,"Rice mix, white and wild, flavored, unprepared","Meals, Entrees, and Side Dishes",SR Legacy,142.0,3.49,26.3,2.57,0.8,0.0,443.0,35.0,1.45
168930,"Rice, white, medium-grain, cooked, unenriched",Cereal Grains and Pasta,SR Legacy,130.0,2.38,28.6,0.21,0.0,0.0,0.0,3.0,0.2
168880,"Rice, white, medium-grain, enriched, cooked",Cereal Grains and Pasta,SR Legacy,130.0,2.38,28.6,0.21,0.3,0.0,0.0,3.0,1.49
168879,"Rice, white, medium-grain, raw, enriched",Cereal Grains and Pasta,SR Legacy,360.0,6.61,79.3,0.58,1.4,0.0,1.0,9.0,4.36
169760,"Rice, white, medium-grain, raw, unenriched",Cereal Grains and Pasta,SR Legacy,360.0,6.61,79.3,0.58,0.0,0.0,1.0,9.0,0.8
168932,"Rice, white, short-grain, cooked, unenriched",Cereal Grains and Pasta,SR Legacy,130.0,2.36,28.7,0.19,0.0,0.0,0.0,1.0,0.2
168882,"Rice, white, short-grain, enriched, cooked",Cereal Grains and Pasta,SR Legacy,130.0,2.36,28.7,0.19,0.0,0.0,0.0,1.0,1.46
168881,"Rice, white, short-grain, enriched, uncooked",Cereal Grains and Pasta,SR Legacy,358.0,6.5,79.2,0.52,2.8,0.0,1.0,3.0,4.23
168931,"Rice, white, short-grain, raw, unenriched",Cereal Grains and Pasta,SR Legacy,358.0,6.5,79.2,0.52,0.0,0.0,1.0,3.0,0.8
174099,"Bread, gluten-free, white, made with potato extract, rice starch, and rice flour",Baked Products,SR Legacy,320.0,3.13,52.8,10.7,3.5,0.0,528.0,24.0,0.76
171862,"Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch",Baked Products,SR Legacy,1000.0,3.34,50.5,2.65,5.1,0.0,593.0,180.0,3.57
169708,"Rice, white, long-grain, parboiled, enriched, cooked",Cereal Grains and Pasta,SR Legacy,123.0,2.91,26.0,0.37,0.9,0.0,2.0,19.0,1.81
169707,"Rice, white, long-grain, parboiled, enriched, dry",Cereal Grains and Pasta,SR Legacy,374.0,7.51,80.9,1.03,1.8,0.0,2.0,71.0,3.33
169759,"Rice, white, long-grain, parboiled, unenriched, cooked",Cereal Grains and Pasta,SR Legacy,123.0,2.91,26.0,0.37,0.9,0.0,2.0,19.0,0.24
